soc_code,isco_code,isco_title
45-2099,9212,Livestock farm labourers
45-2099,9213,Mixed crop and livestock farm labourers
45-3011,6222,Inland and coastal waters fishery workers
45-3011,6223,Deep-sea fishery workers
45-3011,6340,"Subsistence fishers, hunters, trappers and gatherers"
45-3011,9216,Fishery and aquaculture labourers
45-3021,6224,Hunters and trappers
45-3021,6340,"Subsistence fishers, hunters, trappers and gatherers"
45-4011,6210,Forestry and related workers
45-4011,9215,Forestry labourers
45-4021,6210,Forestry and related workers
45-4022,6210,Forestry and related workers
45-4022,8341,Mobile farm and forestry plant operators
45-4023,6210,Forestry and related workers
45-4029,6210,Forestry and related workers
45-4029,9215,Forestry labourers
47-1011,3123,Construction supervisors
47-1011,3121,Mining supervisors
47-2011,7213,Sheet-metal workers
47-2021,7112,Bricklayers and related workers
47-2022,7113,"Stonemasons, stone cutters, splitters and carvers"
47-2031,7115,Carpenters and joiners
47-2041,7122,Floor layers and tile setters
47-2042,7122,Floor layers and tile setters
47-2043,7122,Floor layers and tile setters
47-2044,7122,Floor layers and tile setters
47-2051,7114,"Concrete placers, concrete finishers and related workers"
47-2053,7114,"Concrete placers, concrete finishers and related workers"
47-2061,9313,Building construction labourers
47-2071,8342,Earthmoving and related plant operators
47-2072,8342,Earthmoving and related plant operators
47-2073,8342,Earthmoving and related plant operators
47-2081,7123,Plasterers
47-2082,7123,Plasterers
47-2111,7411,Building and related electricians
47-2121,7125,Glaziers
47-2131,7124,Insulation workers
47-2132,7124,Insulation workers
47-2141,7131,Painters and related workers
47-2142,7131,Painters and related workers
47-2151,7126,Plumbers and pipe fitters
47-2152,7126,Plumbers and pipe fitters
47-2161,7123,Plasterers
47-2171,7214,Structural-metal preparers and erectors
47-2181,7121,Roofers
47-2211,7213,Sheet-metal workers
47-2221,7214,Structural-metal preparers and erectors
47-2231,7119,Building frame and related trades workers not elsewhere classified
47-2231,7411,Building and related electricians
47-3011,9313,Building construction labourers
47-3012,9313,Building construction labourers
47-3013,9313,Building construction labourers
47-3014,9313,Building construction labourers
47-3015,9313,Building construction labourers
47-3016,9313,Building construction labourers
47-3019,9312,Civil engineering labourers
47-3019,9313,Building construction labourers
47-4011,3112,Civil engineering technicians
47-4021,7412,Electrical mechanics and fitters
47-4031,7119,Building frame and related trades workers not elsewhere classified
47-4041,7119,Building frame and related trades workers not elsewhere classified
47-4051,9312,Civil engineering labourers
47-4061,9312,Civil engineering labourers
47-4071,9129,Other cleaning workers
47-4091,7114,"Concrete placers, concrete finishers and related workers"
47-4091,7113,"Stonemasons, stone cutters, splitters and carvers"
47-4099,7119,Building frame and related trades workers not elsewhere classified
47-5011,8113,Well drillers and borers and related workers
47-5012,8113,Well drillers and borers and related workers
47-5013,8113,Well drillers and borers and related workers
47-5021,8111,Miners and quarriers
47-5021,8113,Well drillers and borers and related workers
47-5031,7542,Shotfirers and blasters
47-5041,8111,Miners and quarriers
47-5042,8111,Miners and quarriers
47-5049,8111,Miners and quarriers
47-5051,8111,Miners and quarriers
47-5061,8111,Miners and quarriers
47-5071,8113,Well drillers and borers and related workers
47-5081,9311,Mining and quarrying labourers
47-5099,9311,Mining and quarrying labourers
49-1011,7127,Air conditioning and refrigeration mechanics
49-1011,7231,Motor vehicle mechanics and repairers
49-1011,7232,Aircraft engine mechanics and repairers
49-1011,7233,Agricultural and industrial machinery mechanics and repairers
49-1011,7234,Bicycle and related repairers
49-1011,7311,Precision-instrument makers and repairers
49-1011,7312,Musical instrument makers and tuners
49-1011,7412,Electrical mechanics and fitters
49-1011,7413,Electrical line installers and repairers 
49-1011,7421,Electronics mechanics and servicers
49-1011,7422,Information and communications technology installers and servicers
49-2011,7421,Electronics mechanics and servicers
49-2011,7422,Information and communications technology installers and servicers
49-2021,7422,Information and communications technology installers and servicers
49-2022,7422,Information and communications technology installers and servicers
49-2091,7421,Electronics mechanics and servicers
49-2092,7412,Electrical mechanics and fitters
49-2093,7412,Electrical mechanics and fitters
49-2093,7421,Electronics mechanics and servicers
49-2093,7422,Information and communications technology installers and servicers
49-2094,7412,Electrical mechanics and fitters
49-2094,7421,Electronics mechanics and servicers
49-2095,7412,Electrical mechanics and fitters
49-2095,7421,Electronics mechanics and servicers
49-2096,7412,Electrical mechanics and fitters
49-2096,7421,Electronics mechanics and servicers
49-2097,7422,Information and communications technology installers and servicers
49-2098,7412,Electrical mechanics and fitters
49-3011,7232,Aircraft engine mechanics and repairers
49-3021,7231,Motor vehicle mechanics and repairers
49-3022,7231,Motor vehicle mechanics and repairers
49-3023,7231,Motor vehicle mechanics and repairers
49-3031,7231,Motor vehicle mechanics and repairers
49-3041,7233,Agricultural and industrial machinery mechanics and repairers
49-3042,7233,Agricultural and industrial machinery mechanics and repairers
49-3043,7233,Agricultural and industrial machinery mechanics and repairers
49-3051,7231,Motor vehicle mechanics and repairers
49-3052,7231,Motor vehicle mechanics and repairers
49-3053,7412,Electrical mechanics and fitters
49-3053,7231,Motor vehicle mechanics and repairers
49-3091,7234,Bicycle and related repairers
49-3092,7231,Motor vehicle mechanics and repairers
49-3093,7231,Motor vehicle mechanics and repairers
49-9011,7412,Electrical mechanics and fitters
49-9012,7412,Electrical mechanics and fitters
49-9021,7127,Air conditioning and refrigeration mechanics
49-9031,7412,Electrical mechanics and fitters
49-9041,7233,Agricultural and industrial machinery mechanics and repairers
49-9043,7233,Agricultural and industrial machinery mechanics and repairers
49-9044,7233,Agricultural and industrial machinery mechanics and repairers
49-9045,7112,Bricklayers and related workers
49-9045,7233,Agricultural and industrial machinery mechanics and repairers
49-9051,7413,Electrical line installers and repairers 
49-9052,7422,Information and communications technology installers and servicers
49-9061,7311,Precision-instrument makers and repairers
49-9062,7311,Precision-instrument makers and repairers
49-9063,7312,Musical instrument makers and tuners
49-9064,7311,Precision-instrument makers and repairers
49-9069,7311,Precision-instrument makers and repairers
49-9071,9622,Odd job persons
49-9081,7233,Agricultural and industrial machinery mechanics and repairers
49-9091,9623,Meter readers and vending-machine collectors
49-9092,7541,Underwater divers
49-9093,7533,"Sewing, embroidery and related workers"
49-9094,7222,Toolmakers and related workers
49-9095,7119,Building frame and related trades workers not elsewhere classified
49-9096,7215,Riggers and cable splicers
49-9097,7412,Electrical mechanics and fitters
49-9098,9622,Odd job persons
49-9099,9622,Odd job persons
51-1011,3122,Manufacturing supervisors
51-1011,3131,Power production plant operators
51-1011,3132,Incinerator and water treatment plant operators
51-2011,8211,Mechanical machinery assemblers
51-2021,8212,Electrical and electronic equipment assemblers
51-2022,8212,Electrical and electronic equipment assemblers
51-2023,8212,Electrical and electronic equipment assemblers
51-2031,8211,Mechanical machinery assemblers
51-2041,7214,Structural-metal preparers and erectors
51-2091,8142,Plastic products machine operators
51-2092,8219,Assemblers not elsewhere classified
51-2093,8212,Electrical and electronic equipment assemblers
51-2099,8219,Assemblers not elsewhere classified
51-3011,7512,"Bakers, pastry-cooks and confectionery makers"
51-3021,7511,"Butchers, fishmongers and related food preparers"
51-3022,7511,"Butchers, fishmongers and related food preparers"
51-3023,7511,"Butchers, fishmongers and related food preparers"
51-3091,8160,Food and related products machine operators
51-3091,7511,"Butchers, fishmongers and related food preparers"
51-3092,8160,Food and related products machine operators
51-3092,7513,Dairy-products makers
51-3093,7514,"Fruit, vegetable and related preservers"
51-3093,8160,Food and related products machine operators
51-3099,7514,"Fruit, vegetable and related preservers"
51-3099,8160,Food and related products machine operators
51-4011,7223,Metal working machine tool setters and operators
51-4012,3139,Process control technicians not elsewhere classified
51-4012,7222,Toolmakers and related workers
51-4021,7223,Metal working machine tool setters and operators
51-4021,8121,Metal processing plant operators
51-4021,8142,Plastic products machine operators
51-4022,7223,Metal working machine tool setters and operators
51-4022,8142,Plastic products machine operators
51-4022,7221,"Blacksmiths, hammersmiths and forging press workers"
51-4023,7223,Metal working machine tool setters and operators
51-4023,8121,Metal processing plant operators
51-4023,8142,Plastic products machine operators
51-4031,7223,Metal working machine tool setters and operators
51-4031,8142,Plastic products machine operators
51-4032,7223,Metal working machine tool setters and operators
51-4032,8142,Plastic products machine operators
51-4033,7223,Metal working machine tool setters and operators
51-4033,8142,Plastic products machine operators
51-4034,7223,Metal working machine tool setters and operators
51-4034,8142,Plastic products machine operators
51-4035,7223,Metal working machine tool setters and operators
51-4035,8142,Plastic products machine operators
51-4041,7223,Metal working machine tool setters and operators
51-4051,3135,Metal production process controllers
51-4051,8121,Metal processing plant operators
51-4052,8121,Metal processing plant operators
51-4061,7222,Toolmakers and related workers
51-4062,7222,Toolmakers and related workers
51-4071,7211,Metal moulders and coremakers
51-4072,7211,Metal moulders and coremakers
51-4072,8142,Plastic products machine operators
51-4081,7223,Metal working machine tool setters and operators
51-4111,7222,Toolmakers and related workers
51-4121,7212,Welders and flamecutters
51-4122,7212,Welders and flamecutters
51-4191,8121,Metal processing plant operators
51-4191,8142,Plastic products machine operators
51-4192,7213,Sheet-metal workers
51-4192,7222,Toolmakers and related workers
51-4193,8122,"Metal finishing, plating and coating machine operators"
51-4193,8142,Plastic products machine operators
51-4194,7224,"Metal polishers, wheel grinders and tool sharpeners"
51-4199,7223,Metal working machine tool setters and operators
51-4199,7221,"Blacksmiths, hammersmiths and forging press workers"
51-4199,8142,Plastic products machine operators
51-5111,7321,Pre-press technicians
51-5112,7322,Printers 
51-5113,7323,Print finishing and binding workers
51-6011,8157,Laundry machine operators
51-6021,9121,Hand launderers and pressers
51-6031,8153,Sewing machine operators
51-6041,7318,"Handicraft workers in textile, leather and related materials"
51-6041,7533,"Sewing, embroidery and related workers"
51-6041,7536,Shoemakers and related workers
51-6042,8156,Shoemaking and related machine operators
51-6051,7533,"Sewing, embroidery and related workers"
51-6052,7531,"Tailors, dressmakers, furriers and hatters"
51-6061,8154,"Bleaching, dyeing and fabric cleaning machine operators"
51-6062,7532,Garment and related pattern-makers and cutters
51-6063,8152,Weaving and knitting machine operators
51-6064,8151,"Fibre preparing, spinning and winding machine operators"
51-6091,8181,Glass and ceramics plant operators
51-6092,7532,Garment and related pattern-makers and cutters
51-6093,7534,Upholsterers and related workers
51-6099,7535,"Pelt dressers, tanners and fellmongers"
51-6099,8155,Fur and leather preparing machine operators
51-6099,8159,"Textile, fur and leather products machine operators not elsewhere classified"
51-7011,7522,Cabinet-makers and related workers
51-7021,7522,Cabinet-makers and related workers
51-7031,7522,Cabinet-makers and related workers
51-7032,7522,Cabinet-makers and related workers
51-7041,8172,Wood processing plant operators
51-7042,7523,Woodworking-machine tool setters and operators
51-7099,7317,"Handicraft workers in wood, basketry and related materials"
51-8011,3131,Power production plant operators
51-8012,3131,Power production plant operators
51-8013,3131,Power production plant operators
51-8021,8182,Steam engine and boiler operators
51-8031,3132,Incinerator and water treatment plant operators
51-8091,3133,Chemical processing plant controllers
51-8092,3134,Petroleum and natural gas refining plant operators
51-8093,3134,Petroleum and natural gas refining plant operators
51-8099,3132,Incinerator and water treatment plant operators
51-8099,8114,"Cement, stone and other mineral products machine operators"
51-9011,8131,Chemical products plant and machine operators
51-9012,7513,Dairy-products makers
51-9012,8131,Chemical products plant and machine operators
51-9021,8112,Mineral and stone processing plant operators
51-9021,8114,"Cement, stone and other mineral products machine operators"
51-9021,8141,Rubber products machine operators
51-9021,8181,Glass and ceramics plant operators
51-9022,7224,"Metal polishers, wheel grinders and tool sharpeners"
51-9022,7315,"Glass makers, cutters, grinders and finishers"
51-9023,8114,"Cement, stone and other mineral products machine operators"
51-9023,8181,Glass and ceramics plant operators
51-9031,7315,"Glass makers, cutters, grinders and finishers"
51-9031,7532,Garment and related pattern-makers and cutters
51-9032,8114,"Cement, stone and other mineral products machine operators"
51-9041,8141,Rubber products machine operators
51-9041,8160,Food and related products machine operators
51-9041,8181,Glass and ceramics plant operators
51-9041,7516,Tobacco preparers and tobacco products makers
51-9051,8141,Rubber products machine operators
51-9051,7521,Wood treaters
51-9051,8181,Glass and ceramics plant operators
51-9061,7543,Product graders and testers (excluding foods and beverages)
51-9071,7313,Jewellery and precious-metal workers
51-9081,3214,Medical and dental prosthetic technicians
51-9082,3214,Medical and dental prosthetic technicians
51-9083,7549,Craft and related workers not elsewhere classified
51-9111,8183,"Packing, bottling and labelling machine operators"
51-9121,8122,"Metal finishing, plating and coating machine operators"
51-9121,7132,Spray painters and varnishers
51-9122,7132,Spray painters and varnishers
51-9123,7316,"Sign writers, decorative painters, engravers and etchers"
51-9141,8189,Stationary plant and machine operators not elsewhere classified
51-9151,8132,Photographic products machine operators
51-9191,7521,Wood treaters
51-9191,8143,Paper products machine operators
51-9191,8189,Stationary plant and machine operators not elsewhere classified
51-9192,8171,Pulp and papermaking plant operators
51-9192,8112,Mineral and stone processing plant operators
51-9192,8122,"Metal finishing, plating and coating machine operators"
51-9193,8160,Food and related products machine operators
51-9193,8189,Stationary plant and machine operators not elsewhere classified
51-9194,7316,"Sign writers, decorative painters, engravers and etchers"
51-9194,8212,Electrical and electronic equipment assemblers
51-9195,7314,Potters and related workers
51-9195,7315,"Glass makers, cutters, grinders and finishers"
51-9195,7516,Tobacco preparers and tobacco products makers
51-9195,8181,Glass and ceramics plant operators
51-9195,8131,Chemical products plant and machine operators
51-9195,8141,Rubber products machine operators
51-9196,8171,Pulp and papermaking plant operators
51-9196,8143,Paper products machine operators
51-9197,8141,Rubber products machine operators
51-9198,9329,Manufacturing labourers not elsewhere classified
51-9199,9329,Manufacturing labourers not elsewhere classified
53-1011,9333,Freight handlers
53-1021,9333,Freight handlers
53-1031,3151,Ships' engineers
53-1031,3152,Ships' deck officers and pilots
53-1031,3153,Aircraft pilots and related associate professionals
53-1031,3154,Air traffic controllers
53-1031,3257,Environmental and occupational health inspectors and associates
53-1031,5111,Travel attendants and travel stewards
53-1031,5112,Transport conductors
53-1031,5245,Service station attendants
53-1031,8311,Locomotive engine drivers
53-1031,8312,"Railway brake, signal and switch operators"
53-1031,8321,Motorcycle drivers
53-1031,8322,"Car, taxi and van drivers"
53-1031,8331,Bus and tram drivers
53-1031,8332,Heavy truck and lorry drivers
53-1031,8343,"Crane, hoist and related plant operators"
53-1031,8344,Lifting truck operators
53-1031,9611,Garbage and recycling collectors
53-2011,3153,Aircraft pilots and related associate professionals
53-2012,3153,Aircraft pilots and related associate professionals
53-2021,3154,Air traffic controllers
53-2022,315,Ship and aircraft controllers and technicians
53-2031,5111,Travel attendants and travel stewards
53-3011,8322,"Car, taxi and van drivers"
53-3021,8331,Bus and tram drivers
53-3022,8331,Bus and tram drivers
53-3031,8322,"Car, taxi and van drivers"
53-3032,8332,Heavy truck and lorry drivers
53-3033,8322,"Car, taxi and van drivers"
53-3041,8322,"Car, taxi and van drivers"
53-3099,8321,Motorcycle drivers
53-4011,8311,Locomotive engine drivers
53-4012,8311,Locomotive engine drivers
53-4013,8311,Locomotive engine drivers
53-4021,8312,"Railway brake, signal and switch operators"
53-4031,8312,"Railway brake, signal and switch operators"
53-4041,8311,Locomotive engine drivers
53-4041,8331,Bus and tram drivers
53-4099,8312,"Railway brake, signal and switch operators"
53-5011,8350,Ships' deck crews and related workers
53-5021,3152,Ships' deck officers and pilots
53-5022,8350,Ships' deck crews and related workers
53-5031,3151,Ships' engineers
53-6011,8343,"Crane, hoist and related plant operators"
53-6021,9629,Elementary workers not elsewhere classified
53-6031,5245,Service station attendants
53-6041,3119,Physical and engineering science technicians not elsewhere classified
53-6051,3257,Environmental and occupational health inspectors and associates
53-6061,5111,Travel attendants and travel stewards
53-6061,5112,Transport conductors
53-6099,9331,Hand and pedal vehicle drivers
53-6099,9332,Drivers of animal-drawn vehicles and machinery
53-7011,8189,Stationary plant and machine operators not elsewhere classified
53-7021,8343,"Crane, hoist and related plant operators"
53-7031,8342,Earthmoving and related plant operators
53-7032,8111,Miners and quarriers
53-7032,8342,Earthmoving and related plant operators
53-7033,8111,Miners and quarriers
53-7041,8343,"Crane, hoist and related plant operators"
53-7051,8344,Lifting truck operators
53-7061,9112,"Cleaners and helpers in offices, hotels and other establishments"
53-7061,9122,Vehicle cleaners
53-7062,9329,Manufacturing labourers not elsewhere classified
53-7062,9333,Freight handlers
53-7062,9624,Water and firewood collectors
53-7063,9329,Manufacturing labourers not elsewhere classified
53-7064,9321,Hand packers
53-7071,3134,Petroleum and natural gas refining plant operators
53-7072,3132,Incinerator and water treatment plant operators
53-7072,3134,Petroleum and natural gas refining plant operators
53-7073,8113,Well drillers and borers and related workers
53-7081,9611,Garbage and recycling collectors
53-7081,9612,Refuse sorters
53-7111,8311,Locomotive engine drivers
53-7121,9333,Freight handlers
53-7199,9331,Hand and pedal vehicle drivers
53-7199,9332,Drivers of animal-drawn vehicles and machinery
55-1011,110,Commissioned armed forces officers
55-1012,110,Commissioned armed forces officers
55-1013,110,Commissioned armed forces officers
55-1014,110,Commissioned armed forces officers
55-1015,110,Commissioned armed forces officers
55-1016,110,Commissioned armed forces officers
55-1017,110,Commissioned armed forces officers
55-1019,110,Commissioned armed forces officers
55-2011,210,Non-commissioned armed forces officers
55-2012,210,Non-commissioned armed forces officers
55-2013,210,Non-commissioned armed forces officers
55-3011,310,"Armed forces occupations, other ranks"
55-3012,310,"Armed forces occupations, other ranks"
55-3013,310,"Armed forces occupations, other ranks"
55-3014,310,"Armed forces occupations, other ranks"
55-3015,310,"Armed forces occupations, other ranks"
55-3016,310,"Armed forces occupations, other ranks"
55-3017,310,"Armed forces occupations, other ranks"
55-3018,310,"Armed forces occupations, other ranks"
55-3019,310,"Armed forces occupations, other ranks"
